X_Actual,X_000000000000000000000000,X_000000010000000000000000,X_001000000000000000000000,X_001000000000000000000001,X_001000000000100000000000,X_001000010000000000000000,X_Others,,
X_000000000000000000000000,221706,217,2422,669,86,68,3441,0.969804338,0.030195662
X_000000010000000000000000,115,22817,3,0,0,173,590,0.962823867,0.037176133
X_001000000000000000000000,2484,49,374365,3748,212,376,2791,0.974845388,0.025154612
X_001000000000000000000001,200,1,5593,20945,28,6,1414,0.743073048,0.256926952
X_001000000000100000000000,20,2,204,55,10998,25,1632,0.850185529,0.149814471
X_001000010000000000000000,12,58,40,4,3,38818,598,0.981913844,0.018086156
X_Others,2182,629,2757,2718,4013,1713,188070,0.930661811,0.069338189
,,,,,,,,919070,
,,,,,,,,877719,
,,,,,,,,0.95500778,
